#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
-386.0,75,345.691341
-371.0,75,351.212519
-338.0,68,355.939542
-58.0,13,356.709863
-361.0,75,361.734354
-12.0,4,361.98004
-4.0,2,362.133635
-381.0,75,366.707998
-376.0,75,391.375238
-4.0,2,391.637986
-4.0,2,391.839602
-96.0,20,393.211747
-4.0,2,393.380899
-286.0,60,397.227466
-366.0,75,402.236752
-361.0,75,407.350424
34.0,14,408.244848
-4.0,2,408.413652
35.0,15,409.399919
-356.0,75,414.294471
-4.0,2,414.524784
-4.0,2,414.649314
-8.0,3,414.8936
-361.0,75,419.812671
-356.0,75,424.737431
-70.0,16,425.924807
-371.0,75,430.871047
-78.0,18,432.116322
-371.0,75,437.051536
-29.0,7,437.620396
-4.0,2,437.790021
-260.0,75,443.213409
-366.0,75,448.320637
-4.0,2,448.458819
-20.0,6,448.921551
-25.0,6,449.433388
-29.0,7,449.957782
-33.0,8,450.466849
-66.0,15,451.605609
-49.0,12,452.559588
-325.0,66,457.050785
-308.0,63,461.321096
-351.0,75,467.09883
-8.0,3,467.39319
-4.0,2,467.655668
-4.0,2,467.794024
-99.0,22,469.259946
-8.0,3,469.460675
-371.0,75,474.554871
-16.0,5,475.095278
-187.0,39,477.585121
-50.0,11,478.419054
-66.0,15,479.448703
-16.0,5,479.757928
-371.0,75,484.660069
-241.0,50,488.076369
-237.0,49,491.413587
-4.0,2,491.596189
-4.0,2,491.764477
-4.0,2,491.904331
-4.0,2,492.16649
-361.0,75,497.004235
-4.0,2,497.173759
-4.0,2,497.405065
-58.0,13,498.405433
-245.0,70,503.140006
-344.0,72,508.456357
-4.0,2,508.672293
-45.0,11,509.364161
-184.0,61,513.271705
-12.0,4,513.612698
64.0,9,514.580436
-103.0,42,517.205483
-381.0,75,522.259748
-12.0,4,522.585381
-46.0,10,523.279101
-8.0,3,523.555967
-16.0,5,523.86314
-41.0,10,524.840353
-8.0,3,525.148772
-8.0,3,525.379197
-37.0,9,526.044421
-304.0,62,530.749768
-376.0,75,557.224914
-361.0,75,562.125011
-46.0,10,562.864671
-361.0,75,567.567312
-8.0,3,567.984178
-371.0,75,573.336215
-4.0,2,573.489689
-356.0,75,578.807872
-4.0,2,578.992858
18.0,18,580.243459
-361.0,75,585.628474
-12.0,4,586.060027
-50.0,11,587.03907
-4.0,2,587.302242
-366.0,75,591.984413
-100.0,21,593.472905
-356.0,75,598.657336
-28.0,8,599.258584
-176.0,35,601.544567
-16.0,5,601.961488
-25.0,6,602.48515
-146.0,30,604.352592
-8.0,3,604.538348
-366.0,75,609.24164
-4.0,2,609.441394
-366.0,75,614.456889
-371.0,75,619.795631
-366.0,75,624.378329
-180.0,36,627.241311
-361.0,75,631.498751
-147.0,29,632.303135
-16.0,5,632.488343
-4.0,2,632.535334
-88.0,18,633.104504
-4.0,2,633.24354
-4.0,2,633.38239
-371.0,75,635.760327
-25.0,6,635.943288
-116.0,25,636.515395
-180.0,36,637.673419
-356.0,75,639.729788
-8.0,3,639.790887
-8.0,3,639.898579
-12.0,4,640.039272
-366.0,75,642.260072
-4.0,2,642.380844
-8.0,3,642.488486
-4.0,2,642.58233
-8.0,3,642.736952
-4.0,2,642.983252
-33.0,8,643.262074
-366.0,75,645.365731
-376.0,75,647.424647
-62.0,14,648.046154
-108.0,23,648.802649
-4.0,2,648.897498
-25.0,6,649.160983
-92.0,19,649.706367
-4.0,2,649.798222
-371.0,75,651.940782
-366.0,75,654.350693
-351.0,75,656.559789
-4.0,2,656.745394
-37.0,9,657.088511
-4.0,2,657.182073
-4.0,2,657.274617
-4.0,2,657.566273
-57.0,14,658.078444
-16.0,5,658.276161
-361.0,75,671.336164
-156.0,35,672.62636
-8.0,3,672.795473
-205.0,41,674.096683
-366.0,75,676.292839
-54.0,12,676.845777
-366.0,75,678.980043
-187.0,58,680.561517
64.0,9,681.248592
-8.0,3,681.542147
-4.0,2,681.729926
-366.0,75,686.344279
-366.0,75,691.432069
-4.0,2,691.693836
-4.0,2,691.92597
-4.0,2,692.110696
-4.0,2,692.280726
-4.0,2,692.45032
-16.0,5,692.910259
-8.0,3,693.234487
-62.0,14,694.328382
-8.0,3,694.573963
-8.0,3,694.774942
-4.0,2,694.912641
-8.0,3,695.145025
-41.0,10,695.931997
-361.0,75,700.664339
-160.0,36,703.298358
-381.0,75,708.1903
-151.0,30,709.242002
-376.0,75,711.280114
-371.0,75,713.590779
-4.0,2,713.681136
-12.0,4,713.975477
-361.0,75,716.125359
-4.0,2,716.216782
-356.0,75,718.464017
-237.0,49,719.917979
-8.0,3,720.025154
-29.0,7,720.332822
-179.0,37,721.583067
-8.0,3,721.828552
-4.0,2,721.920383
-4.0,2,722.029196
-4.0,2,722.104873
-4.0,2,722.164887
-8.0,3,722.272997
-25.0,6,722.581043
-361.0,75,724.659437
-180.0,41,725.691961
-188.0,62,727.440053
-181.0,40,728.486852
-8.0,3,728.595385
34.0,14,729.090536
-4.0,2,729.167416
-12.0,4,729.292084
-4.0,2,729.324077
-366.0,75,731.714868
-100.0,21,732.315059
-258.0,53,733.772936
-356.0,75,735.780707
-8.0,3,735.888438
-4.0,2,735.950086
-8.0,3,736.073659
-8.0,3,736.152154
-12.0,4,736.321526
-16.0,5,736.477472
-4.0,2,736.584234
-77.0,38,737.511375
-4.0,2,737.651156
-361.0,75,739.79361
-381.0,75,741.974898
-84.0,17,742.532762
-4.0,2,742.611252
-95.0,21,743.247668
-4.0,2,743.356983
-8.0,3,743.526999
-145.0,31,744.441252
-278.0,58,746.108253
-332.0,69,757.932104
56.0,11,758.222915
27.0,17,758.838115
-12.0,4,759.067447
-361.0,75,761.509414
-12.0,4,761.649538
-366.0,75,763.769739
-350.0,71,766.118784
-4.0,2,766.20976
-161.0,35,767.136422
-45.0,11,767.568392
-12.0,4,767.73723
-167.0,34,768.790371
-4.0,2,768.898465
-177.0,39,770.18967
-4.0,2,770.311798
-356.0,75,772.185747
-4.0,2,772.229761
10.0,20,772.941204
-4.0,2,773.081878
-346.0,75,775.384612
-67.0,14,775.76844
-4.0,2,775.907479
-356.0,75,778.319299
-4.0,2,778.365307
-8.0,3,778.504185
-4.0,2,778.641975
-4.0,2,778.720378
-366.0,75,780.783361
-79.0,17,782.117666
-158.0,33,784.186267
-4.0,2,784.325098
-58.0,13,785.284635
-4.0,2,785.468703
-4.0,2,785.750074
30.0,15,786.814936
-8.0,3,787.078815
-66.0,15,788.334392
-259.0,52,791.776505
-4.0,2,792.101821
-54.0,12,792.994988
-4.0,2,793.15241
-20.0,6,793.630093
-19.0,26,795.417093
-4.0,2,795.634254
-4.0,2,795.789569
-66.0,15,796.831347
-8.0,3,797.033401
-366.0,75,801.871422
-37.0,9,802.400029
-4.0,2,802.61515
-62.0,14,803.453498
-356.0,75,808.203311
-119.0,27,810.181388
-170.0,36,812.55105
-46.0,10,813.367323
-334.0,67,817.665399
-4.0,2,817.86562
-253.0,53,821.571987
-8.0,3,821.788248
-8.0,3,822.128909
-4.0,2,822.360363
-4.0,2,822.606044
-356.0,75,827.457056
-4.0,2,827.643631
-351.0,75,832.316601
-54.0,12,833.046206
-4.0,2,833.201352
-4.0,2,833.478988
-4.0,2,833.695199
-195.0,41,836.753967
-238.0,48,839.615979
60.0,10,840.434253
-4.0,2,840.651929
-371.0,75,845.501167
-4.0,2,845.686908
-4.0,2,845.825782
-54.0,12,846.69401
-82.0,19,848.196113
-112.0,24,849.851057
-54.0,12,850.730528
-371.0,75,855.837329
-366.0,75,860.735926
-4.0,2,860.982338
-4.0,2,861.152225
-4.0,2,861.290484
-4.0,2,861.492728
-4.0,2,861.725903
-8.0,3,862.2055
-8.0,3,862.423275
-100.0,21,863.706535
-361.0,75,891.768948
-341.0,75,894.051927
-4.0,2,894.176555
-341.0,75,896.474847
-331.0,75,898.607843
-8.0,3,898.714874
-4.0,2,898.885839
-112.0,24,899.794296
-20.0,6,900.136442
-4.0,2,900.214513
-20.0,6,900.724864
-208.0,43,902.032498
-78.0,18,902.618994
-4.0,2,902.772497
-4.0,2,902.833348
-4.0,2,902.909287
-4.0,2,903.047175
-21.0,5,903.202929
-4.0,2,903.35692
-25.0,6,903.618159
-4.0,2,903.712602
-73.0,18,904.127699
-366.0,75,906.437307
-75.0,16,907.054239
-12.0,4,907.193111
-4.0,2,907.333363
-4.0,2,907.457475
-356.0,75,909.956234
-78.0,18,910.632107
-351.0,75,912.88803
-4.0,2,913.013452
-4.0,2,913.182532
-4.0,2,913.243824
-371.0,75,915.562217
-4.0,2,915.671553
-371.0,75,917.570311
-4.0,2,917.696262
-41.0,10,918.083937
35.0,15,918.54492
-109.0,22,919.238031
-86.0,20,919.914399
-4.0,2,920.006154
-4.0,2,920.15758
-91.0,20,920.856232
-29.0,7,921.087551
-4.0,2,921.24065
-4.0,2,921.377853
-361.0,75,923.741702
-4.0,2,923.802381
-356.0,75,925.870188
-8.0,3,926.008367
-4.0,2,926.086038
-4.0,2,926.179718
-12.0,4,926.30262
